gene_id	KO_840	KO_843	KO_857	KO_891	WT_841	WT_842	WT_858	WT_892
ENSMUSG00000102693.1	0	0	0	0	0	0	0	0
ENSMUSG00000064842.1	0	0	0	0	0	0	0	0
ENSMUSG00000051951.5	340	411	1397	442	673	238	189	1181
ENSMUSG00000102851.1	0	0	0	0	0	0	0	0
ENSMUSG00000103377.1	2	0	1	0	0	0	0	0
ENSMUSG00000104017.1	0	0	0	0	1	0	0	0
ENSMUSG00000103025.1	2	0	1	0	0	1	0	0
ENSMUSG00000089699.1	0	0	0	0	0	0	0	0
ENSMUSG00000103201.1	2	0	0	0	0	0	1	0
ENSMUSG00000103147.1	0	6	0	0	6	3	0	0
ENSMUSG00000103161.1	0	2	4	0	1	1	0	0
ENSMUSG00000102331.1	0	1	11	2	3	6	0	1
ENSMUSG00000102348.1	0	0	0	0	0	0	0	0
ENSMUSG00000102592.1	0	0	0	0	0	0	0	0
ENSMUSG00000088333.2	0	0	0	0	0	0	0	0
ENSMUSG00000102343.1	0	0	0	0	1	0	0	0
ENSMUSG00000025900.11	0	0	0	1	2	0	5	3
ENSMUSG00000102948.1	0	0	0	0	0	0	0	1
ENSMUSG00000109048.1	0	0	0	0	0	0	0	0
ENSMUSG00000104123.1	0	0	0	0	0	0	0	0
ENSMUSG00000025902.13	444	371	2	11	385	197	26	3
ENSMUSG00000104238.1	11	0	0	0	6	3	0	0
ENSMUSG00000102269.1	4	1	4	4	4	3	4	4
ENSMUSG00000096126.1	0	0	0	0	0	0	0	0
ENSMUSG00000103003.1	0	0	0	0	0	0	0	0
ENSMUSG00000104328.1	0	0	0	0	0	0	0	0
ENSMUSG00000102735.1	2	0	0	0	0	0	0	0
ENSMUSG00000098104.1	17	14	17	20	24	10	12	12
ENSMUSG00000102175.1	3	10	0	4	3	1	2	1
ENSMUSG00000088000.1	0	0	0	0	0	0	0	0
ENSMUSG00000103265.1	0	0	0	0	0	0	0	0
ENSMUSG00000103922.1	311	785	286	142	519	324	162	126
ENSMUSG00000033845.13	2291	2009	1890	1331	1973	1127	1148	1194
ENSMUSG00000102275.1	3	1	7	1	2	2	0	0
ENSMUSG00000025903.14	17310	13688	9958	5322	16294	10771	7016	9357
ENSMUSG00000104217.1	0	0	0	0	0	0	0	0
ENSMUSG00000033813.15	1967	1575	1570	988	1949	987	1422	1354
ENSMUSG00000062588.4	23	22	18	5	20	11	0	4
ENSMUSG00000103280.1	6	15	5	0	1	0	1	15
ENSMUSG00000002459.17	1	0	0	4	1	1	0	0
ENSMUSG00000091305.1	0	0	0	0	0	0	0	0
ENSMUSG00000102653.1	0	0	0	0	0	0	0	0
ENSMUSG00000085623.1	0	0	0	0	0	0	0	0
ENSMUSG00000091665.1	1	0	0	0	0	0	0	0
ENSMUSG00000033793.12	22437	20299	17913	12961	21347	11251	11350	13384
ENSMUSG00000104352.1	0	0	0	0	0	0	0	0
ENSMUSG00000104046.1	0	0	0	0	0	0	0	0
ENSMUSG00000102907.1	0	0	0	0	0	0	0	0
ENSMUSG00000025905.13	4	0	1	0	1	0	2	1
ENSMUSG00000103936.1	0	0	0	0	0	0	0	0
ENSMUSG00000093015.1	0	0	0	0	0	0	0	0
ENSMUSG00000103519.1	0	0	0	0	0	0	0	0
ENSMUSG00000033774.4	0	0	0	0	0	0	0	0
ENSMUSG00000103090.1	0	0	0	0	0	0	0	0
ENSMUSG00000025907.14	955	991	7997	5503	1235	558	3181	6771
ENSMUSG00000090031.2	44	56	54	69	46	15	35	40
ENSMUSG00000087247.3	0	4	0	0	0	0	0	0
ENSMUSG00000103355.1	0	2	0	3	14	4	8	0
ENSMUSG00000102706.1	0	0	0	0	0	0	0	0
ENSMUSG00000103845.1	0	0	10	0	2	0	1	2
ENSMUSG00000033740.17	2	7	26	8	11	2	0	1
ENSMUSG00000103329.2	1	0	0	0	0	0	0	0
ENSMUSG00000104385.1	0	0	0	0	0	0	0	0
ENSMUSG00000102135.1	6	12	6	0	12	2	0	8
ENSMUSG00000103282.1	0	0	0	0	0	0	0	0
ENSMUSG00000102534.1	0	0	0	0	0	0	0	0
ENSMUSG00000102213.1	0	0	0	0	0	0	0	0
ENSMUSG00000103629.1	0	0	0	0	0	0	0	0
ENSMUSG00000051285.17	11680	8882	15842	10813	11858	5730	8337	11052
ENSMUSG00000098201.1	11	4	4	2	4	3	0	6
ENSMUSG00000103509.1	117	76	66	53	115	42	30	44
ENSMUSG00000048538.7	0	4	0	0	2	0	6	4
ENSMUSG00000103709.1	0	0	0	0	0	0	0	0
ENSMUSG00000077244.1	0	0	0	0	0	0	0	0
ENSMUSG00000102768.1	0	0	0	0	0	0	0	0
ENSMUSG00000097797.6	4	3	8	2	11	1	0	0
ENSMUSG00000103498.1	0	0	0	0	0	0	0	0
ENSMUSG00000103067.1	0	0	0	0	0	0	0	0
ENSMUSG00000102320.1	0	0	0	0	0	0	0	0
ENSMUSG00000104226.1	0	0	1	0	0	0	0	0
ENSMUSG00000103903.1	2	6	1	0	0	1	0	0
ENSMUSG00000103557.1	0	0	0	0	0	0	0	0
ENSMUSG00000025909.16	2	0	2	0	4	2	0	0
ENSMUSG00000102647.1	0	0	0	0	0	0	0	0
ENSMUSG00000086235.1	1	2	4	1	2	2	0	0
ENSMUSG00000102253.1	0	0	0	0	0	0	0	0
ENSMUSG00000093970.1	0	0	0	0	0	0	0	0
ENSMUSG00000103884.1	0	0	0	0	0	0	0	0
ENSMUSG00000084353.1	0	0	0	2	0	0	0	0
ENSMUSG00000103933.1	1	6	0	2	3	0	0	0
ENSMUSG00000076135.1	0	0	0	1	1	0	2	0
ENSMUSG00000086195.1	4	1	1	2	5	1	2	2
ENSMUSG00000104504.1	0	3	3	1	4	1	0	1
ENSMUSG00000066693.2	1	0	0	1	0	0	0	2
ENSMUSG00000102316.1	0	0	0	0	0	0	0	0
ENSMUSG00000103819.1	0	0	0	0	0	0	0	0
ENSMUSG00000102871.1	0	0	0	0	0	0	0	0
ENSMUSG00000101571.2	0	2	1	1	1	0	2	2
ENSMUSG00000104428.1	0	4	0	0	0	0	0	0
ENSMUSG00000102272.1	4	4	4	5	0	1	0	10
ENSMUSG00000065625.1	0	0	0	0	0	0	0	0
ENSMUSG00000103411.1	0	0	0	9	0	0	4	1
ENSMUSG00000061024.8	718	695	868	1045	930	401	981	655
ENSMUSG00000025911.14	14368	12449	11803	11220	20582	8398	15624	12715
ENSMUSG00000079671.8	32	34	33	49	38	26	26	35
ENSMUSG00000081441.3	0	2	1	7	1	0	2	2
ENSMUSG00000067879.3	15	14	13	1	1	2	1	1
ENSMUSG00000099827.1	0	0	0	0	0	0	0	0
ENSMUSG00000025912.16	92	85	196	92	122	30	28	210
ENSMUSG00000045210.8	3586	3180	5685	5277	4794	2301	5163	5948
ENSMUSG00000097893.8	56	51	55	44	63	24	32	46
ENSMUSG00000025915.14	1749	1226	735	800	1256	605	803	460
ENSMUSG00000046334.4	7	8	2	12	4	8	11	0
